#separator:tab
#html:false
#notetype:Basic
#deck:Calcolabilità e Complessità

Front	Back
Proposizione: costo simulazione multinastro → multitraccia	Se una macchina multinastro impiega $n$ passi, una macchina multitraccia equivalente impiega $O(n^2)$ passi. Dimostrazione: nel caso peggiore dopo $m$ passi due testine distano $2m$ celle. Ogni passo della multinastro richiede $\leq 4m + 2k$ passi della multitraccia ($k$ = numero nastri). Sommando su $n$ passi: $\sum_{i=1}^n (4i + 2k) \leq n(4n+2k) = O(n^2)$.
Definizione di MACCHINA NON DETERMINISTICA	$N$ è una MdT non deterministica se la funzione di transizione è $\delta : Q \times \Gamma \to 2^{Q \times \Gamma \times \{\leftarrow,\rightarrow\}}$ (insieme di possibili passi). Una stringa $w$ è accettata se nell'albero di computazione esiste almeno un percorso dalla configurazione iniziale a una configurazione accettante.
Proposizione: EQUIPOTENZA MdT NON DETERMINISTICA — enunciato e dimostrazione	Enunciato: Una MdT non deterministica ha lo stesso potere espressivo di quelle deterministiche. Dimostrazione: La NTM $N$ può essere simulata da una DTM $M$ tramite BFS sull'albero di computazione (si usa BFS, non DFS, per evitare di esplorare rami infiniti perdendo rami accettanti finiti). Se $N$ usa al più $c$ figli per nodo e profondità $m$, il numero di nodi è $O(c^m)$, quindi la simulazione può costare esponenziale in tempo.
Definizione di MACCHINA DI TURING UNIVERSALE $M_u$	$M_u$ è una MdT che riceve in input la coppia $(M, w)$ (codifica binaria di una MdT $M$ seguita da una stringa $w$) e simula $M$ su $w$: accetta se $M$ accetta, rifiuta se $M$ rifiuta, diverge se $M$ diverge. È una macchina a 4 nastri: (1) input $M\texttt{111}w$; (2) nastro simulato (ricodifica di $w$); (3) stato simulato; (4) lavoro ausiliario.
Definizione di LINGUAGGIO UNIVERSALE $\mathcal{L}_u$	$\mathcal{L}_u = \{\langle M, w \rangle \mid M \text{ accetta } w\}$. Insieme delle coppie macchina-stringa tali che la macchina accetta la stringa.
Definizione di classi RE e R	RE: classe dei linguaggi semi-decidibili (esiste una MdT che li riconosce, ma può non terminare sui "no"). R: classe dei linguaggi decidibili (esiste una MdT che li decide, cioè termina sempre). Vale $R \subseteq RE$.
Definizione di VETTORE CARATTERISTICO	Il vettore caratteristico del linguaggio $\mathcal{L}$ è la stringa binaria infinita $\chi_\mathcal{L}$ tale che la posizione $i$-esima vale 1 se $w_i \in \mathcal{L}$, 0 altrimenti.
Definizione del LINGUAGGIO DIAGONALE $\mathcal{L}_d$	$\mathcal{L}_d = \{w_i \mid M_i \text{ non accetta } w_i\}$. Costruito complementando la diagonale della tabella (MdT $\times$ stringhe).
Proposizione: $\mathcal{L}_d \notin RE$ — enunciato e dimostrazione	Enunciato: $\mathcal{L}_d \notin RE$. Dimostrazione: Supponiamo per assurdo che esista $M_k$ con $\mathcal{L}(M_k) = \mathcal{L}_d$. Chiediamoci se $M_k$ accetta $w_k$. Se $M_k \models w_k$: allora $w_k \in \mathcal{L}_d$, ma per definizione $w_k \in \mathcal{L}_d \iff M_k \not\models w_k$: contraddizione. Se $M_k \not\models w_k$: allora $w_k \in \mathcal{L}_d$, quindi $M_k$ dovrebbe accettare $w_k$: contraddizione. In entrambi i casi assurdo, quindi $\mathcal{L}_d \notin RE$.
Perché esistono linguaggi indecidibili?	Le MdT sono enumerabili (numerabili come $\mathbb{N}$), i linguaggi sono tutti i possibili sottoinsiemi di $\Sigma^*$ (cardinalità di $\mathbb{R}$). Esistono più linguaggi che algoritmi.
Teorema: chiusura di R per complemento — enunciato e dimostrazione	Enunciato: $\mathcal{L} \in R \Rightarrow \overline{\mathcal{L}} \in R$. Dimostrazione: Poiché $\mathcal{L} \in R$, esiste $M_\mathcal{L}$ che decide $\mathcal{L}$. Costruiamo $\overline{M}$ identica a $M_\mathcal{L}$ ma con risposte invertite (sì ↔ no). Poiché $M_\mathcal{L}$ termina sempre, anche $\overline{M}$ termina sempre, quindi $\overline{\mathcal{L}} \in R$.
Teorema: $\mathcal{L} \in RE \land \overline{\mathcal{L}} \in RE \Rightarrow \mathcal{L} \in R$ — enunciato e dimostrazione	Enunciato: Se $\mathcal{L} \in RE$ e $\overline{\mathcal{L}} \in RE$ allora $\mathcal{L} \in R$. Dimostrazione: Siano $M_\mathcal{L}$ e $M_{\overline{\mathcal{L}}}$ le macchine che accettano $\mathcal{L}$ e $\overline{\mathcal{L}}$. Costruiamo $M'$ che esegue $M_\mathcal{L}$ e $M_{\overline{\mathcal{L}}}$ in parallelo: se risponde $M_\mathcal{L}$, $w \in \mathcal{L}$, accetta; se risponde $M_{\overline{\mathcal{L}}}$, $w \notin \mathcal{L}$, rifiuta. Ogni stringa sta in $\mathcal{L}$ o in $\overline{\mathcal{L}}$, quindi una delle due risponde in tempo finito. $M'$ è un decisore, $\mathcal{L} \in R$.
Corollario: RE non è chiuso per complemento	Se RE fosse chiuso per complemento, ogni $\mathcal{L} \in RE$ avrebbe $\overline{\mathcal{L}} \in RE$, il che implicherebbe $\mathcal{L} \in R$ per il teorema precedente. Ma $\mathcal{L}_u \in RE \setminus R$, contraddizione.
Teorema: $\mathcal{L}_u \notin R$ — enunciato e dimostrazione	Enunciato: $\mathcal{L}_u \notin R$. Dimostrazione: Supponiamo per assurdo esista $\bar{M}_u$ che decide $\mathcal{L}_u$. Costruiamo $M'$ che: (1) riceve $w_i$ in input; (2) forma la coppia $(M_i, w_i)$; (3) esegue $\bar{M}_u$ su $(M_i, w_i)$ e inverte la risposta. Allora $\mathcal{L}(M') = \{w_i \mid M_i \not\models w_i\} = \mathcal{L}_d$. Poiché $\bar{M}_u$ termina sempre, $M'$ sarebbe un decisore per $\mathcal{L}_d$, quindi $\mathcal{L}_d \in R \subseteq RE$: contraddizione con $\mathcal{L}_d \notin RE$.
Definizione di PROBLEMA DELLA FERMATA (HALT)	$HALT = \{(M, w) \mid M \text{ si arresta su } w\}$. Differenza con $\mathcal{L}_u$: in $\mathcal{L}_u$ la macchina deve fermarsi e accettare; in $HALT$ basta che si fermi.
Teorema: $HALT \in RE$ — dimostrazione	La macchina $M_h$ simula $M$ su $w$ tramite $M_u$, risponde sì se $M$ si arresta. Se $M$ non si arresta, $M_h$ non termina. Quindi le istanze sì vengono accettate, le istanze no non vengono accettate.
Teorema: $HALT \notin R$ — enunciato e dimostrazione	Enunciato: $HALT \notin R$. Dimostrazione: Supponiamo per assurdo esista $M_h^*$ che decide $HALT$. Costruiamo $M'$ su input $(M, w)$: (1) esegue $M_h^*$ su $(M, w)$; (2) se $M_h^*$ dice no: risponde no (M non si ferma); (3) se $M_h^*$ dice sì: simula $M$ su $w$ tramite $M_u$ e usa la risposta. Allora $M'$ decide $\mathcal{L}_u$: $M_h^*$ garantisce terminazione anche sul "no" (loop → no immediato). Quindi $\mathcal{L}_u \in R$: contraddizione.
Definizione di $HALT_\varepsilon$	$HALT_\varepsilon = \{M \mid M \text{ si arresta su } \varepsilon\}$. Insieme delle MdT che si arrestano sulla stringa vuota.
Teorema: $HALT_\varepsilon \notin R$ — enunciato e dimostrazione	Enunciato: $HALT_\varepsilon \notin R$. Dimostrazione: Supponiamo esista $M_{h\varepsilon}^*$ che decide $HALT_\varepsilon$. Costruiamo $M'$ su input $(M, w)$: (1) costruisce $\tilde{M}_w$ che ignora il proprio input, scrive $w$ sul nastro e simula $M$ su $w$; (2) esegue $M_{h\varepsilon}^*$ su $\tilde{M}_w$. Poiché $\tilde{M}_w$ su $\varepsilon$ si comporta come $M$ su $w$, $M'$ decide $HALT$, quindi $HALT \in R$: contraddizione.
Definizione di COMPLEMENTO di un linguaggio	$\overline{\mathcal{L}} = \Sigma^* \setminus \mathcal{L}$.
Definizione del complemento di $\mathcal{L}_d$	$\bar{\mathcal{L}}_d = \{w_i \mid M_i \text{ accetta } w_i\}$.
Teorema: $\bar{\mathcal{L}}_d \in RE$ — dimostrazione	Costruiamo $M$: dato $w_i$ in input, costruisce la coppia $(M_i, w_i)$ e la passa a $M_u$. Se $M_u$ accetta, risponde sì. Quindi: $w_i \in \bar{\mathcal{L}}_d \Rightarrow M$ risponde sì; $w_i \notin \bar{\mathcal{L}}_d \Rightarrow M$ non risponde sì. Perciò $\bar{\mathcal{L}}_d \in RE$.
Perché $\bar{\mathcal{L}}_d \notin R$?	Se fosse $\bar{\mathcal{L}}_d \in R$, per chiusura di $R$ per complemento si avrebbe $\mathcal{L}_d \in R \subseteq RE$, contraddicendo $\mathcal{L}_d \notin RE$.
Definizione di RIDUZIONE (calcolabilità)	$f$ è una riduzione da $A$ a $B$ (scriviamo $A \leq B$) se per ogni stringa $w$: $w \in A \iff f(w) \in B$, e $f$ è calcolabile (esiste un trasduttore che termina sempre e la calcola). Intuitivamente, $A \leq B$ significa che $A$ non è più difficile di $B$.
Definizione di TRASDUTTORE	Un trasduttore è una MdT con tre nastri: (1) input (sola lettura); (2) worktape (lettura/scrittura); (3) output (sola scrittura). $M$ calcola $f$ se su ogni $w$ si arresta lasciando $f(w)$ sull'output. Una funzione calcolabile è una funzione per cui esiste un trasduttore che la calcola e si arresta sempre.
Teorema sulle riduzioni — enunciato e dimostrazione	Enunciato: Se $A \leq B$, allora: (1) $A \notin R \Rightarrow B \notin R$; (2) $A \notin RE \Rightarrow B \notin RE$. Dimostrazione caso (1): Se $B \in R$ esiste $M_B$ che decide $B$. Costruiamo $M_A$: calcola $f(w)$ e poi esegue $M_B$ su $f(w)$. Sia il trasduttore che $M_B$ terminano sempre, la risposta è corretta per $w \in A \iff f(w) \in B$. Quindi $M_A$ decide $A \Rightarrow A \in R$: contraddizione. Caso (2) analogo con $M_B$ che accetta.
Corollario delle riduzioni	Se $A \leq B$: $B \in R \Rightarrow A \in R$ e $B \in RE \Rightarrow A \in RE$ (per contronominale del teorema precedente).
Definizione di $\mathcal{L}_{ne}$	$\mathcal{L}_{ne} = \{M_i \mid \mathcal{L}(M_i) \neq \emptyset\}$. Insieme delle MdT che accettano almeno una stringa.
Teorema: $\mathcal{L}_{ne} \in RE$ — dimostrazione	Costruiamo la macchina $M_{ne}$ (non deterministica). Dato $M_i$ in input: (1) indovina non deterministicamente una stringa $w$; (2) simula $M_i$ su $w$ tramite $M_u$; (3) se $M_i$ accetta $w$, risponde sì. Se $\mathcal{L}(M_i) \neq \emptyset$, esiste $w^*$ accettata: un ramo indovina $w^*$ e risponde sì.
Teorema: $\mathcal{L}_{ne} \notin R$ — dimostrazione tramite riduzione	Mostriamo $\mathcal{L}_u \leq \mathcal{L}_{ne}$. Costruiamo $f(M, w) = M'$ dove $M'$ ignora il proprio input $x$, scrive $w$ e simula $M$ su $w$. Verifica: se $(M,w) \in \mathcal{L}_u$ ($M$ accetta $w$), allora $M'$ accetta qualsiasi $x$, quindi $\mathcal{L}(M') = \Sigma^* \neq \emptyset \Rightarrow M' \in \mathcal{L}_{ne}$. Se $(M,w) \notin \mathcal{L}_u$, allora $M'$ non accetta mai, $\mathcal{L}(M') = \emptyset \Rightarrow M' \notin \mathcal{L}_{ne}$. Poiché $\mathcal{L}_u \notin R$ e $\mathcal{L}_u \leq \mathcal{L}_{ne}$, si ha $\mathcal{L}_{ne} \notin R$.
Definizione del PROBLEMA DI CORRISPONDENZA DI POST (PCP)	Input: lista di coppie di stringhe $(R, S)$ con $|R|=|S|$. Output: se esiste una sequenza di indici $i_1, \ldots, i_u$ (con $u > 0$) tale che $r_{i_1} \cdot \ldots \cdot r_{i_u} = s_{i_1} \cdot \ldots \cdot s_{i_u}$, l'input è accettato.
Dimostrazione: PCP ∈ RE	Si costruisce una macchina non deterministica che indovina la sequenza di indici e ne controlla la validità (guess & check).
Dimostrazione: PCP ∉ R (schema a due riduzioni)	Si mostra $\mathcal{L}_u \leq MPCP \leq PCP$. MPCP è PCP con il vincolo che la sequenza inizi sempre con l'indice 1. Poiché $\mathcal{L}_u \notin R$ e $\mathcal{L}_u \leq MPCP$, allora $MPCP \notin R$; poiché $MPCP \leq PCP$, allora $PCP \notin R$.
Riduzione $\mathcal{L}_u \leq MPCP$ — idea	Data $(M, w)$, si costruisce $(R, S)$ in modo che le righe di $S$ siano sempre "un passo avanti" su quelle di $R$ nella computazione. $R$ è "un passo indietro": se esiste una computazione accettante di $M$ su $w$, esiste una sequenza tale che $r = s$ (la stringa che rappresenta la computazione). Se $M$ non accetta, $s$ è sempre un passo avanti e non si raggiungerà mai l'uguaglianza. La funzione $f$ è calcolabile perché costruisce solo coppie finite guardando $\delta$ di $M$.
Definizione di SISTEMA DI TASSELLAMENTO	Una quadrupla $T = (D, d_0, H, V)$ dove: $D$ = insieme finito dei tipi di piastrelle; $d_0 \in D$ = piastrella speciale per l'origine $(0,0)$; $H \subseteq D \times D$ = regole di affiancamento orizzontale; $V \subseteq D \times D$ = regole di affiancamento verticale.
Definizione di TASSELLAMENTO VALIDO	Una funzione $f : \mathbb{N} \times \mathbb{N} \to D$ è un tassellamento valido per $T$ se: $f(0,0) = d_0$; $(f(m,n), f(m+1,n)) \in H$ per ogni $m,n$; $(f(m,n), f(m,n+1)) \in V$ per ogni $m,n$.
Teorema: Tiling è indecidibile — dimostrazione	Si mostra $\overline{HALT_\varepsilon} \leq \text{Tiling}$. Si costruisce $g : M \mapsto T = g(M)$ tale che $M \notin HALT_\varepsilon \iff T \in \text{Tiling}$. Se $M$ diverge su $\varepsilon$, la computazione è infinita e si può tassellare tutto il piano (la riga $n$ codifica la configurazione $c_n$). Se $M$ si ferma, il tassellamento non può proseguire all'infinito. Poiché $\overline{HALT_\varepsilon} \notin RE$, Tiling $\notin RE$, in particolare è indecidibile.
Definizione di classe co-RE	$co\text{-}RE = \{L \mid \overline{L} \in RE\}$. Classe dei linguaggi il cui complemento è in RE (si può rispondere "no" in tempo finito).
Teorema: $R \neq RE$ — dimostrazione	$HALT_\varepsilon \in RE \setminus R$, quindi $R \subsetneq RE$.
Teorema: $coRE \cap RE = R$ — dimostrazione	($\subseteq$) Se $L \in coRE \cap RE$, allora $\overline{L} \in RE$. Con $L, \overline{L} \in RE$ si eseguono in parallelo i due semi-decisori: quello che risponde per primo dà la risposta definitiva. Quindi $L \in R$. ($\supseteq$) Se $L \in R$, il decisore $H$ risponde sì ($L \in RE$) e risponde no ($L \in coRE$).
Teorema: $RE \neq coRE$ — dimostrazione	Se $RE = coRE$, allora $coRE \cap RE = RE = R$, contraddicendo $R \neq RE$.
Definizione di $HALT_\forall$	$HALT_\forall = \{M \mid M \text{ si ferma su tutte le stringhe}\}$.
Teorema: $HALT_\forall \notin RE$ — dimostrazione	Si mostra $\overline{HALT_\varepsilon} \leq HALT_\forall$. Costruiamo $N = f(M)$: dato input $w$, $N$ simula $M$ su $\varepsilon$ per $|w|$ passi (usando $M_t$ che simula al massimo $k$ passi e poi termina); se $M_t$ accetta, va in loop; altrimenti termina. Analisi: se $M$ non si ferma su $\varepsilon$, la simulazione non termina mai entro $|w|$ passi per nessun $w$, quindi $N$ si ferma sempre $\Rightarrow N \in HALT_\forall$. Se $M$ si ferma su $\varepsilon$ in $k$ passi, per $|w| \geq k$ la simulazione completa e $N$ diverge $\Rightarrow N \notin HALT_\forall$. Quindi $M \notin HALT_\varepsilon \iff N \in HALT_\forall$, cioè $\overline{HALT_\varepsilon} \leq HALT_\forall$. Poiché $\overline{HALT_\varepsilon} \notin RE$, allora $HALT_\forall \notin RE$.
Teorema: $HALT_\forall \notin coRE$ — dimostrazione	Si mostra $HALT_\varepsilon \leq HALT_\forall$. Costruiamo $N$: dato input $w$, simula $M$ su $\varepsilon$ ignorando $w$. Se $M$ non si ferma su $\varepsilon$: $N$ non termina mai $\Rightarrow N \notin HALT_\forall$. Se $M$ si ferma su $\varepsilon$: $N$ si ferma su ogni $w \Rightarrow N \in HALT_\forall$. Quindi $M \in HALT_\varepsilon \iff N \in HALT_\forall$. Poiché $HALT_\varepsilon \notin coRE$ e $HALT_\varepsilon \leq HALT_\forall$, allora $HALT_\forall \notin coRE$.
Ipotesi di Church-Turing	Tutto ciò che è calcolabile è calcolabile da una macchina di Turing. Non è un teorema formale: è un'ipotesi, perché non esistono formalismi di calcolo con potere espressivo superiore mai sviluppati.
Definizione di PROPRIETÀ DI MACCHINA	Un insieme $P$ di codifiche di macchine di Turing. Si associa il linguaggio $L_P = \{M \mid M \in P\}$.
Definizione di PROPRIETÀ SEMANTICA (di linguaggio)	$P$ è semantica se $\mathcal{L}(M_1) = \mathcal{L}(M_2) \Rightarrow (M_1 \in P \iff M_2 \in P)$. Cioè dipende solo dal linguaggio riconosciuto, non dalla struttura della macchina.
Teorema di RICE — enunciato e dimostrazione	Enunciato: Ogni proprietà non banale di linguaggi RE è indecidibile. Dimostrazione: Sia $P \subseteq RE$ non banale. Caso (a) $\emptyset \notin P$: poiché $P \neq \emptyset$, esiste $L \neq \emptyset$ con $L \in P$; sia $M_L$ la sua MdT. Mostriamo $L_u \leq L_P$: dato $(M, w)$, costruiamo $N = f(M,w)$ che su input $x$ prima simula $M$ su $w$, poi (se $M$ accetta) avvia $M_L$ su $x$. Se $(M,w) \in L_u$: $N$ si comporta come $M_L$, $\mathcal{L}(N) = L \in P \Rightarrow N \in L_P$. Se $(M,w) \notin L_u$: $N$ non accetta mai, $\mathcal{L}(N) = \emptyset \notin P \Rightarrow N \notin L_P$. Quindi $L_u \leq L_P$ e $L_P$ è indecidibile. Caso (b) $\emptyset \in P$: si considera $\overline{P} = RE \setminus P$ che ha $\emptyset \notin \overline{P}$ e non è banale, quindi per il caso (a) $L_{\overline{P}}$ è indecidibile. Poiché $\overline{L_{\overline{P}}} = L_P$, se $L_P \in R$ allora $L_{\overline{P}} \in R$: contraddizione.
Definizione di COMPUTATION TIME	Numero di passi che una MdT $M$ esegue prima di arrestarsi su $w$. Per MdTN, è la lunghezza del branch più lungo nell'albero di computazione.
Definizione di TIME FUNCTION	Una funzione $t : \mathbb{N} \to \mathbb{N}$ strettamente positiva e non decrescente.
Definizione di RUNNING TIME	Il running time di $M$ è $t(n)$ se per quasi tutte le stringhe $w$ (eccetto un numero finito) il computation time di $M$ su $w$ non eccede $t(\|w\|)$.
Definizione di Big O	$f(n) \in O(g(n))$ se $\exists\, c, n_0 : \forall n \geq n_0,\; f(n) \leq c \cdot g(n)$. Limite asintotico superiore.
Definizione di Big $\Omega$	$f(n) \in \Omega(g(n))$ se $\exists\, c, n_0 : \forall n \geq n_0,\; f(n) \geq c \cdot g(n)$. Limite asintotico inferiore.
Definizione di Big $\Theta$	$f(n) \in \Theta(g(n))$ se $f(n) \in O(g(n))$ e $f(n) \in \Omega(g(n))$. Limite asintotico stretto.
Definizione di TIME COMPLEXITY UPPER BOUND	Il time complexity upper bound di un problema $P$ è $O(f(n))$ se esiste almeno una MdT che risolve $P$ con running time $O(f(n))$.
Definizione di TIME COMPLEXITY LOWER BOUND	Il time complexity lower bound di $P$ è $\Omega(f(n))$ se tutti gli algoritmi che risolvono $P$ hanno running time $\Omega(f(n))$. Nessun algoritmo, presente o futuro, può fare meglio.
Definizione di classe DTime	$DTime(t(n)) = \{L \mid \exists\, M \text{ deterministica che decide } L \text{ in tempo } O(t(n))\}$.
Definizione di classe P	$P = \bigcup_{c \geq 1} DTime(n^c)$. Classe dei problemi risolvibili in tempo polinomiale deterministico (problemi trattabili).
Definizione di classe NTime	$NTime(t(n)) = \{L \mid \exists\, M \text{ non deterministica che decide } L \text{ in tempo } O(t(n))\}$.
Definizione di classe NP	$NP = \bigcup_{c \geq 1} NTime(n^c)$. Classe dei problemi la cui soluzione può essere verificata in tempo polinomiale, o equivalentemente risolti in tempo polinomiale non deterministico.
Il pattern Guess & Check per NP	Una MdTN per dimostrare $L \in NP$: (1) Guess: si indovina non deterministicamente una soluzione candidata (certificato di dimensione polinomiale). (2) Check: si verifica deterministicamente in tempo polinomiale che il candidato sia corretto.
Domanda P vs NP	$P \overset{?}{=} NP$: ogni problema la cui soluzione è facilmente verificabile è anche facilmente trovabile? Congetturato no ma non dimostrato. Uno dei sette Millennium Prize Problems.
Definizione di RIDUZIONE POLINOMIALE	$A \leq_P B$ (A si riduce polinomialmente a $B$) se esiste $f : \Sigma^* \to \Sigma^*$ tale che: (1) $f$ è calcolabile in tempo polinomiale deterministico; (2) $\forall w: w \in A \iff f(w) \in B$.
Definizione di NP-Hardness	$A$ è NP-Hard se $\forall L \in NP: L \leq_P A$.
Definizione di NP-Completezza	$A$ è NP-Completo se: (1) $A$ è NP-Hard; (2) $A \in NP$.
Teorema del COLLASSO DI NP — enunciato e dimostrazione	Enunciato: Sia $L$ NP-Completo. Allora $L \in P \iff P = NP$. Dimostrazione ($\Rightarrow$): $L$ è NP-Completo, quindi tutti i linguaggi in NP si riducono polinomialmente a $L$. Poiché $L \in P$, ogni riduzione composta con il decisore di $L$ è polinomiale, quindi $NP \subseteq P$. Banalmente $P \subseteq NP$, quindi $P = NP$. Dimostrazione ($\Leftarrow$): $L \in NP$ (è NP-Completo) e $NP = P$, quindi $L \in P$.
Teorema: TRANSITIVITÀ delle riduzioni polinomiali	Se $A \leq_P B$ e $B \leq_P C$ allora $A \leq_P C$. Dimostrazione: si compongono le funzioni di riduzione; composizione di funzioni polinomiali è polinomiale.
Teorema: RIDUZIONI NP-HARD	Se $A$ è NP-Hard e $A \leq_P B$, allora $B$ è NP-Hard. Dimostrazione: per ogni $L \in NP$, $L \leq_P A$ (NP-hardness di $A$) e $A \leq_P B$, quindi per transitività $L \leq_P B$.
Definizione di SAT	$SAT = \{\varphi \mid \varphi \text{ è in CNF ed è soddisfacibile}\}$.
Definizione di 3SAT	$3SAT = \{\psi \mid \psi \text{ è in 3CNF ed è soddisfacibile}\}$ (ogni clausola ha al massimo 3 letterali).
Proposizione: NP-Completezza di 3SAT — dimostrazione	3SAT $\in$ NP: il certificato è un assegnamento, la verifica è polinomiale. SAT $\leq_P$ 3SAT: data $\phi$ in CNF, per ogni clausola $C_i = (l_1 \vee \cdots \vee l_k)$ si sostituisce: $k=1$: con $(l_1 \vee y_1 \vee y_2) \wedge (l_1 \vee y_1 \vee \neg y_2) \wedge (l_1 \vee \neg y_1 \vee y_2) \wedge (l_1 \vee \neg y_1 \vee \neg y_2)$; $k=2$: con $(l_1 \vee l_2 \vee y) \wedge (l_1 \vee l_2 \vee \neg y)$; $k=3$: invariata; $k>3$: si introducono $k-3$ variabili fresche $z_1,\ldots,z_{k-3}$ e si costruisce la catena $(l_1 \vee l_2 \vee z_1) \wedge (\neg z_1 \vee l_3 \vee z_2) \wedge \cdots \wedge (\neg z_{k-3} \vee l_{k-1} \vee l_k)$. La riduzione è polinomiale. Completezza e correttezza si verificano mostrando che un assegnamento di $\phi$ si estende a $\phi'$ e viceversa (per assurdo, se tutti i letterali sono falsi si ottiene contraddizione nell'ultima clausola).
Definizione di INDEPENDENT SET (IS)	$IS = \{\langle G, k \rangle \mid G \text{ ha un IS } S \text{ con } |S| \geq k\}$. Un IS è un $S \subseteq V$ tale che nessuna coppia di nodi in $S$ è collegata da un arco.
