Come si ottiene una rappresentazione di H da una di G, dato un omomorfismo f: H→G?;Si compone: ρ∘f: H→GL(V). Se H≤G, è la restrizione di ρ a H.
Come si dimostrano le formule di χ_{Λ²} e χ_{S²}?;Sia {v₁,...,vₙ} base di autovettori di ρ(g) con autovalori λ₁,...,λₙ. La base di Λ²(V) è {vᵢ∧vⱼ | i<j} con autovalore λᵢλⱼ. Quindi χ_{Λ²}(g)=Σᵢ﹤ⱼλᵢλⱼ=(χ(g)²-χ(g²))/2. Per S²: si usa T²=Λ²⊕S², quindi χ_{S²}=χ_{T²}-χ_{Λ²}.

Perché Σᵢ﹤ⱼλᵢλⱼ = (χ(g)²-χ(g²))/2?;Perché (Σλᵢ)²=Σλᵢ²+2Σᵢ﹤ⱼλᵢλⱼ, quindi Σᵢ﹤ⱼλᵢλⱼ=((Σλᵢ)²-Σλᵢ²)/2=(χ(g)²-χ(g²))/2, dato che Σλᵢ²=χ(g²) perché gli autovalori di ρ(g²) sono i quadrati di quelli di ρ(g).

Cosa sono T²(V*), S²(V*), Λ²(V*) in termini di forme bilineari?;T²(V*)={forme bilineari su V}; S²(V*)={forme bilineari simmetriche su V}; Λ²(V*)={forme bilineari antisimmetriche su V}.

Cos'è lo stabilizzatore di un sottospazio W⊆V rispetto a G?;H={g∈G | ρ(g)W⊆W} — il sottogruppo di G che manda W in sé. W è una rappresentazione di H.

Come si costruisce la rappresentazione indotta Ind_H^G W?;Si sommano i traslati di W per i rappresentanti dei laterali: U=⊕_{[g]∈G/H} ρ(g)W. La somma è diretta e indicizzata dai laterali di H in G.

Perché nella rappresentazione indotta si somma su G/H e non su G?;Perché elementi dello stesso laterale gH danno lo stesso sottospazio: se g'=gh con h∈H, allora ρ(g')W=ρ(g)ρ(h)W=ρ(g)W (dato che ρ(h)W=W). Ogni sottospazio compare una sola volta per laterale.

Perché la somma U=⊕ρ(g)W è diretta?;Perché laterali distinti danno sottospazi che si intersecano solo in {0}: vivono in direzioni diverse di V.

Perché U=Ind_H^G W è G-stabile?;Per ogni h∈G e ogni addendo ρ(g)W: ρ(h)·ρ(g)W=ρ(hg)W, che è l'addendo corrispondente al laterale [hg]∈G/H. Quindi h manda addendi in addendi e U rimane dentro U.

Qual è la dimensione di Ind_H^G W?;dim(Ind_H^G W) = |G/H|·dim W = (|G|/|H|)·dim W.

Enuncia il teorema sul bound della dimensione delle irriducibili.;Se A≤G è un sottogruppo abeliano, allora ogni rappresentazione irriducibile V di G soddisfa dim V ≤ |G|/|A|.

Dimostra il bound dim V ≤ |G|/|A| per A≤G abeliano.;1) Restringi a A: V è rappr di A. 2) A abeliano → ogni irriducibile di A ha dim 1 (Corollario di Schur). Quindi ∃W≤V con dim W=1, sotto-A-modulo. 3) Costruisci U=⊕_{[g]∈G/A}ρ(g)W⊆V con dim U=|G/A|. 4) U è sotto-G-modulo non nullo e V è irriducibile → V=U → dim V=|G|/|A|.

Perché nel bound ogni irriducibile di A ha dimensione 1?;A abeliano → ogni ρ(a) commuta con tutti gli altri ρ(a') → per Schur (Parte 2) ogni ρ(a)=λ·id → ogni sottospazio 1-dimensionale è stabile → le irriducibili non possono avere dimensione >1.

Qual è il corollario del bound per il gruppo diedrale Dₙ?;Ogni irriducibile di Dₙ ha dim ≤ 2, perché Dₙ contiene il sottogruppo ciclico Cₙ abeliano con [Dₙ:Cₙ]=2, quindi dim V ≤ |Dₙ|/|Cₙ|=2.
