Che cos'e' una partizione λ ⊢ n?;Una sequenza λ = (λ_1, ..., λ_k) con λ_1 ≥ ... ≥ λ_k ≥ 0 interi e Σ λ_i = n. Si scrive |λ| = n e l(λ) = k (lunghezza). L'insieme di tutte le partizioni di n si indica con Par(n).
Che cos'e' un tableau iniettivo di forma λ ⊢ n?;Un riempimento del diagramma di Ferrer di λ con gli interi 1, ..., n, ciascuno usato esattamente una volta. Non si richiede alcun ordinamento.
Che cos'e' un Tableau di Young Standard (SYT) di forma λ ⊢ n?;Un tableau iniettivo di forma λ in cui le entrate sono strettamente crescenti lungo ogni riga (da sinistra a destra) e lungo ogni colonna (dal basso verso l'alto).
Differenza tra tableau iniettivo, SSYT e SYT?;Iniettivo: riempimento con 1,...,n senza restrizioni. SSYT: debolmente crescente per righe, strettamente per colonne, con ripetizioni permesse. SYT: iniettivo + strettamente crescente per righe e colonne.
Esempio: distingui iniettivo, SSYT e SYT con forma (3,2)/(1).;Con forma sghemba tipo λ=(3,2,1), μ=(1): un riempimento con un 1 ripetuto non e' iniettivo (ma puo' essere SSYT). Un SSYT puo' non essere SYT se ha ripetizioni. Un SYT ha tutte le entrate 1,...,n distinte e strettamente ordinate.
Come si denota il numero di SYT di forma λ?;Si indica con f^λ := #{SYT di forma λ}. Si calcola con la formula degli uncini: f^λ = n! / Π_{(i,j)∈λ} h(i,j), dove h(i,j) e' la lunghezza dell'uncio nella cella (i,j).
Come agisce naturalmente S_n sui tableau iniettivi di forma λ?;Per σ ∈ S_n e T tableau, σ·T si ottiene sostituendo ogni entrata i di T con σ(i). Esempio: (1,3) applicato al tableau con 1 in alto e 2,3 in basso scambia 1 con 3 in tutte le posizioni.
Che cos'e' il gruppo di riga R(T)?;Sottogruppo di S_n delle permutazioni che spostano le entrate di T solo all'interno delle rispettive righe. Per T di forma λ = (λ_1,...,λ_k): R(T) ≅ S_{λ_1} × ... × S_{λ_k} =: S_λ (sottogruppo di Young).
Che cos'e' il gruppo di colonna C(T)?;Sottogruppo di S_n delle permutazioni che spostano le entrate di T solo all'interno delle rispettive colonne. Si ha C(T) ≅ S_{λ'}, dove λ' e' la partizione coniugata (diagramma trasposto).
Esempio di R(T) e C(T) per T = [[4,5],[1,2,3]] (forma (3,2)).;R(T) = {g ∈ S_5 | g fissa {1,2,3} e {4,5} come insiemi} ≅ S_3 × S_2. C(T) = {g | g fissa {1,4}, {2,5}, {3}} ≅ S_2 × S_2.
Enuncia la proprieta' di coniugio dei gruppi di riga e colonna.;Per ogni σ ∈ S_n e tableau iniettivo T: R(σ·T) = σ·R(T)·σ⁻¹ e C(σ·T) = σ·C(T)·σ⁻¹. L'azione di σ sul tableau coniuga i gruppi.
Dimostrazione di R(σ·T) = σ R(T) σ⁻¹ (⊇).;Sia p ∈ R(T). Per x = σ(y) nella riga di σ·T, (σpσ⁻¹)(x) = σ(p(y)). Poiche' p(y) e' nella stessa riga di y in T, σ(p(y)) e' nella stessa riga di x in σ·T. Quindi σpσ⁻¹ ∈ R(σ·T).
Dimostrazione di R(σ·T) = σ R(T) σ⁻¹ (⊆).;Sia q ∈ R(σ·T). Poniamo p := σ⁻¹qσ. Per y in riga di T: σ(y) sta nella riga di σ·T, quindi q(σ(y)) rimane nella stessa riga di σ·T, e p(y) = σ⁻¹(q(σ(y))) rimane nella riga di y in T. Dunque p ∈ R(T) e q = σpσ⁻¹.
Enuncia il Lemma di partizione dei tableau.;Siano T, T~ tableau iniettivi di forma λ, λ~ ⊢ n con λ ≯^R λ~. Allora ESATTAMENTE una delle seguenti: (1) esistono i ≠ j nella stessa colonna di T e nella stessa riga di T~; (2) λ = λ~ ed esistono p~ ∈ R(T~), q ∈ C(T) con p~·T~ = q·T.
Esempio caso (1) del Lemma di partizione.;λ = λ~ = (2,1) ⊢ 3. T con 2 in alto e 1,3 in basso. T~ con 3 in alto e 1,2 in basso. Gli elementi 1 e 2 sono nella stessa colonna di T e stessa riga di T~. Siamo nel caso (1).
Perche' nel caso (1) il caso (2) e' escluso?;Se λ = λ~ e vale (2), esistono p~ ∈ R(T~), q ∈ C(T) tali che p~T~ = qT. Ma l'esistenza di i,j nella stessa colonna di T e stessa riga di T~ impedisce che una permutazione di colonna in T produca qT con gli stessi contenuti di riga di p~T~.
Idea della dimostrazione del Lemma di partizione.;Assumiamo (1) falsa. Gli elementi della prima riga di T~ occupano colonne distinte di T, quindi esiste q_1 ∈ C(T) che li sposta nella prima riga di q_1 T. Iterando: λ~_1 + ... + λ~_k ≤ λ_1 + ... + λ_k per ogni k, cioe' λ ≥ λ~ in dominanza, quindi λ ≥^R λ~. Ma λ ≯^R λ~, quindi λ = λ~. Poi si costruisce p~ in modo che p~T~ = qT.
Che cos'e' la parola di colonna w_col(T)?;Sequenza ottenuta leggendo le entrate di T colonna per colonna, da sinistra a destra, e in ciascuna colonna dall'alto verso il basso. Esempio: se T ha colonne [3,1,2], [4,6], [5], allora w_col(T) = 3,1,2,4,6,5 = 312465.
Come si definisce l'ordine sui tableau iniettivi?;Dati T, T~ tableau della stessa dimensione, T~ > T se: (1) la forma di T~ e' strettamente maggiore di quella di T nel RLO, oppure (2) le forme coincidono e il piu' grande intero che occupa celle diverse nei due tableau appare PRIMA in w_col(T~) che in w_col(T).
Osservazione: se T e' SYT, come si comportano R(T) e C(T) rispetto all'ordine sui tableau?;Per p ∈ R(T): p·T ≥ T (lo spostamento va verso sinistra nella parola di colonna). Per q ∈ C(T): q·T ≤ T (lo spostamento va verso il basso, quindi dopo nella parola di colonna).
Enuncia il Corollario "Ordine e intersezione righe-colonne".;Siano T, T~ due SYT con T~ > T. Allora esistono i ≠ j nella stessa colonna di T e nella stessa riga di T~.
Dimostrazione del Corollario ordine/intersezione (per SYT).;Per assurdo: se tali i,j non esistono, per il Lemma di partizione esistono p~ ∈ R(T~), q ∈ C(T) con p~T~ = qT. Essendo T, T~ SYT: T ≥ q·T = p~·T~ ≥ T~. Quindi T ≥ T~, contraddizione con T~ > T.
Che cos'e' un tabloide {T} associato a un tableau iniettivo T?;E' l'orbita di T sotto l'azione di R(T): {T} := {p·T | p ∈ R(T)}. Equivalentemente: classe di equivalenza dove l'ordine degli elementi all'interno di ciascuna riga non ha importanza.
Come agisce S_n sui tabloidi?;Per σ ∈ S_n: σ·{T} := {σ·T}. Ben definita perche' R(σ·T) = σR(T)σ⁻¹, quindi l'orbita di σ·T dipende solo dall'orbita di T.
Esempio di tabloide e azione.;T = [[2,4],[1,3,5]]. {T} e' l'insieme di tutti i tableau con riga inferiore {1,3,5} e riga superiore {2,4} (in qualche ordine). Per σ = (14): σ·{T} = {[[2,1],[4,3,5]]} = {1,2 | 3,4,5}.
Quanti tabloidi di forma λ ⊢ n esistono?;Il numero di tabloidi di forma λ e' il coefficiente multinomiale: n! / (λ_1! · λ_2! · ... · λ_k!).
Che cos'e' la rappresentazione M^λ?;Lo spazio vettoriale complesso con base formale l'insieme di tutti i tabloidi di forma λ ⊢ n, con l'azione di S_n data da permutazione dei tabloidi (σ·{T} = {σ·T}).
Isomorfismo fondamentale di M^λ.;M^λ ≅ Ind_{S_λ}^{S_n} 1, cioe' M^λ e' la rappresentazione indotta dal sottogruppo di Young S_λ = S_{λ_1} × ... × S_{λ_k} della rappresentazione banale. Dimensione: n!/(λ_1!...λ_k!).
Esempi importanti di M^λ.;λ = (2,1) per n = 3: 3 tabloidi {1,2|3}, {1,3|2}, {2,3|1}, dim M^(2,1) = 3. λ = (n): un unico tabloide, M^(n) ≅ 1 (banale). λ = (1^n): n! tabloidi, M^(1^n) e' la rappresentazione regolare.
Che cos'e' il simmetrizzatore delle righe a_T?;In C[S_n]: a_T := Σ_{p ∈ R(T)} p. Somma (non alternante) di tutte le permutazioni del gruppo di riga.
Che cos'e' il simmetrizzatore delle colonne b_T?;In C[S_n]: b_T := Σ_{q ∈ C(T)} sgn(q)·q. Somma ALTERNANTE (con segno) di tutte le permutazioni del gruppo di colonna.
Che cos'e' il simmetrizzatore di Young c_T?;In C[S_n]: c_T := b_T · a_T. Prodotto del simmetrizzatore di colonna per quello di riga (in questo ordine). Non e' idempotente ma proporzionale a uno.
Proprieta' algebrica di a_T con p ∈ R(T).;p·a_T = a_T·p = a_T. Inoltre a_T^2 = |R(T)|·a_T. Quindi a_T/|R(T)| e' idempotente.
Proprieta' algebrica di b_T con q ∈ C(T).;q·b_T = b_T·q = sgn(q)·b_T. Inoltre b_T^2 = |C(T)|·b_T. Il segno alternante e' caratteristico dei simmetrizzatori di colonna.
Proprieta' di coniugio dei simmetrizzatori.;Per ogni σ ∈ S_n: σ·a_T·σ⁻¹ = a_{σ·T} e σ·b_T·σ⁻¹ = b_{σ·T}. L'azione di σ sul tableau coniuga i simmetrizzatori (stesso meccanismo dei gruppi R(T), C(T)).
Che cos'e' il vettore di Specht v_T?;Per T tableau iniettivo di forma λ: v_T := b_T·{T} = Σ_{q ∈ C(T)} sgn(q)·{q·T} ∈ M^λ. Combinazione lineare alternante dei tabloidi ottenuti permutando T dentro le colonne.
Proprieta' del vettore di Specht.;(1) v_T ≠ 0 per ogni tableau iniettivo T. (2) Equivarianza: per ogni σ ∈ S_n, σ·v_T = v_{σ·T}. La seconda segue da b_{σT} = σ b_T σ⁻¹ e σ·{T} = {σT}.
Esempio: calcolo di v_T per λ = (2,1) con T = [[2],[1,3]].;Colonne: {1,2} e {3}, quindi C(T) = {id, (12)}. a_T = id + (13) (riga [1,3]), b_T = id - (12). v_T = b_T·{T} = {T} - {(12)T} = {1,3 | 2} - {2,3 | 1}.
Che cos'e' il modulo di Specht S^λ?;Il sottomodulo S^λ := C[S_n]·v_T ⊆ M^λ, generato ciclicamente da un qualsiasi vettore di Specht v_T di forma λ. Si puo' provare che non dipende dalla scelta di T (a meno di isomorfismo).
Enuncia il Teorema della Base Standard.;L'insieme {v_T | T SYT di forma λ} e' una base di S^λ. In particolare dim S^λ = f^λ := #{SYT di forma λ}. Quindi i vettori di Specht indicizzati dagli SYT sono la base standard.
Esempio: S^(2,1) per S_3.;Due SYT: T = [[3],[1,2]] con C(T) = {id,(13)} → v_T = {1,2|3} - {2,3|1}. T' = [[2],[1,3]] con C(T') = {id,(12)} → v_{T'} = {1,3|2} - {2,3|1}. v_T, v_{T'} sono base di S^(2,1) (dim 2, rappresentazione standard di S_3).
Che cosa sono S^(n) e S^(1^n)?;S^(n) e' la rappresentazione banale di S_n (dim 1). S^(1^n) e' la rappresentazione segno di S_n (dim 1). Entrambe sono 1-dimensionali perche' f^(n) = f^(1^n) = 1.
Che cos'e' una composizione debole?;Vettore α = (α_1, ..., α_k) ∈ N^k con Σ α_i = n. A differenza delle partizioni, le parti NON devono essere ordinate e possono essere zero. Si pone α_j = 0 per j > l(α).
Esempio di composizioni deboli.;Le composizioni deboli di 3 in 2 parti sono: (3,0), (2,1), (1,2), (0,3). Sono 4 in totale. In generale il numero e' C(n+k-1, k-1).
Ordine di dominanza su composizioni deboli.;Date α, β composizioni deboli: α ≤ β se Σ_{j=1}^{i} α_j ≤ Σ_{j=1}^{i} β_j per ogni i. Stessa definizione della dominanza su partizioni, ma applicata a vettori non necessariamente decrescenti.
Che cos'e' il tabloid parziale {T}^i?;Sia {T} tabloide di forma λ ⊢ n e T il rappresentante canonico (righe crescenti da sinistra a destra). {T}^i si ottiene da T rimuovendo tutte le entrate j > i. Si ha {T}^0 = ∅, {T}^n = {T}.
Che cos'e' la forma sh({T}) di un tabloide?;sh({T}) := (sh({T}^0), sh({T}^1), ..., sh({T}^n)), dove sh({T}^i) e' la composizione debole che conta quante entrate ≤ i ci sono in ciascuna riga. La forma determina univocamente il tabloide.
Esempio di forma di un tabloide.;T = [[1,2],[3,4]] di forma (2,2). sh({T}^0) = (0,0), sh({T}^1) = (0,1), sh({T}^2) = (0,2), sh({T}^3) = (1,2), sh({T}^4) = (2,2). Ogni sh conta in ciascuna riga quanti i,j ≤ i compaiono.
Ordine sui tabloidi della stessa forma.;Dati {T}, {T'} di forma λ: {T} ≤ {T'} se sh({T}^i) ≤ sh({T'}^i) per ogni i (ordine di dominanza sulle composizioni deboli). E' un ordine TOTALE sui tabloidi standard della stessa forma.
Enuncia il Lemma: ordine e gruppo di colonna.;Sia T un SYT e q ∈ C(T) con q ≠ id. Allora {T} ≰ {qT} nell'ordine sui tabloidi. Cioe' applicare una permutazione di colonna non banale su un SYT produce un tabloide strettamente minore.
Idea della dimostrazione del Lemma (ordine e gruppo di colonna).;q sposta almeno un'entrata verso l'alto nella colonna (le colonne di un SYT crescono dal basso). Ma "verso l'alto" significa verso una riga con indice maggiore, quindi le somme parziali di sh({qT}^i) diminuiscono rispetto a quelle di sh({T}^i) per qualche i. Quindi {T} ≰ {qT}.
Enuncia il Lemma Tecnico (Key Lemma).;Siano T, T~ tableau iniettivi di forma λ, λ~ ⊢ n con λ ≯^R λ~. Allora b_T·{T~} = 0 se esistono i ≠ j nella stessa colonna di T e riga di T~; altrimenti b_T·{T~} = ±v_T.
Conseguenza del Lemma Tecnico.;b_T·M^λ = C·v_T (sottospazio 1-dimensionale). Il simmetrizzatore b_T "proietta" tutto M^λ sul sottospazio generato da v_T. Piu' in generale: b_T·M^{λ~} = C·v_T se λ ≯^R λ~.
Dimostrazione Caso 1 del Lemma Tecnico.;Siano i ≠ j nella stessa colonna di T e stessa riga di T~. Sia t = (i,j). Allora: t ∈ C(T), quindi b_T·t = -b_T; e t·{T~} = {T~} (i,j stessa riga). Da b_T·{T~} = b_T·(t·{T~}) = (b_T·t)·{T~} = -b_T·{T~} segue b_T·{T~} = 0.
Dimostrazione Caso 2 del Lemma Tecnico.;Se non esistono i,j come nel caso 1, per il Lemma di partizione esistono p~ ∈ R(T~), q ∈ C(T) con p~·T~ = q·T. Allora b_T·{T~} = b_T·{p~T~} = b_T·{qT} = b_T·q·{T} = sgn(q)·b_T·{T} = sgn(q)·v_T = ±v_T.
Enuncia il Corollario di annullamento.;Se T, T~ sono SYT della stessa forma λ con T~ > T (nell'ordine sui tableau), allora b_T·{T~} = 0. E' la chiave dell'indipendenza lineare dei vettori di Specht.
Dimostrazione del Corollario di annullamento.;Dal Lemma di partizione applicato a T, T~ SYT stessa forma: o vale caso 1 o caso 2. Caso 2 e' impossibile per SYT distinti della stessa forma (produrrebbe tabloidi uguali, ma SYT distinti della stessa forma danno tabloidi distinti). Quindi vale caso 1, e si applica il Lemma Tecnico caso 1.
Come si prova l'indipendenza lineare dei vettori di Specht?;Per assurdo: sia Σ γ_T v_T = 0 non triviale. L'ordine sui tabloidi SYT e' totale, quindi esiste un MASSIMO T̄ tra i T con γ_T ≠ 0. Il tabloide {T̄} appare in v_{T̄} solo dal termine q = id (per il Lemma, altri q danno {qT̄} < {T̄}). Se appare in altro v_{T~}, allora {T~} > {T̄}, contraddizione.
Enuncia il Lemma di Young (tre identita').;Sia f^μ = #SYT(μ), con ν→μ (ν ottenuto da μ rimuovendo una cella) e λ←μ (λ ottenuto aggiungendo). (1) Regola di discesa: Σ_{ν→μ} f^ν = f^μ. (2) Regola di salita: Σ_{λ←μ} f^λ = (n+1) f^μ. (3) Identita': Σ_{λ⊢n} (f^λ)^2 = n!.
Dimostrazione della regola di discesa.;In ogni SYT di forma μ ⊢ n, l'elemento massimo n sta in una cella rimovibile (angolo esterno). Rimuovendola si ottiene un SYT di forma ν → μ di dimensione n-1. Questa e' una biiezione tra SYT(μ) e ⊔_{ν→μ} SYT(ν).
Dimostrazione dell'identita' delle dimensioni.;Per induzione su n. Caso base: n=1, 1² = 1!. Passo: Σ_{λ⊢n+1} (f^λ)² = Σ_λ f^λ Σ_{ν→λ} f^ν = Σ_{ν⊢n} f^ν Σ_{λ←ν} f^λ = Σ_ν f^ν · (n+1)f^ν = (n+1) Σ_ν (f^ν)² = (n+1)·n! = (n+1)!.
Dimostrazione del Teorema della Base Standard.;(1) Indipendenza lineare: dim S^λ ≥ f^λ. (2) Da Maschke/Wedderburn per la rappresentazione regolare: n! = Σ_λ (dim S^λ)² ≥ Σ_λ (f^λ)² = n!. L'uguaglianza forza dim S^λ = f^λ per ogni λ. Quindi {v_T | T SYT} e' base.
Enuncia il Teorema di Classificazione delle irriducibili di S_n.;I moduli di Specht {S^λ | λ ⊢ n} costituiscono un sistema completo di rappresentazioni irriducibili di S_n, a due a due non isomorfe. Quindi sono TUTTE e SOLE le irriducibili di S_n.
Perche' S^λ ≠ 0?;Nel vettore v_T = Σ sgn(q){qT}, il termine q = id contribuisce {T} con coefficiente +1, e nessun altro termine lo cancella (perche' {qT} ≠ {T} per q ∉ R(T), e q ∈ C(T)\R(T) per q ≠ id). Quindi v_T ≠ 0 e S^λ ⊇ ⟨v_T⟩ ≠ 0.
Perche' S^λ e' irriducibile?;Per assurdo, sia S^λ = V ⊕ W con V,W sottorappresentazioni proprie. Applicando b_T: C·v_T = b_T·V ⊕ b_T·W. Essendo C·v_T 1-dimensionale, uno dei due sommandi e' nullo: diciamo b_T·W = 0. Allora v_T ∈ b_T·V ⊆ V, e v_T genera S^λ, quindi V = S^λ. Contraddizione.
Perche' S^λ e S^(λ~) sono non isomorfi per λ ≠ λ~?;Per un SYT T di forma λ: b_T·S^λ = C·v_T ≠ 0. Se λ~ >^R λ (possiamo sempre scegliere cosi' a meno di invertire): dal Lemma Tecnico caso 1, b_T·S^(λ~) = 0. Questa asimmetria nell'azione algebrica esclude ogni isomorfismo tra S^λ e S^(λ~).
Perche' {S^λ} e' completo (copre tutte le irriducibili)?;Le partizioni di n sono in biiezione con le classi di coniugio di S_n (tipo di ciclo). Poiche' il numero di irriducibili di un gruppo finito = numero di classi di coniugio, e abbiamo |Par(n)| irriducibili a due a due distinti, la famiglia {S^λ} e' completa.
Formula chiave che governa la classificazione.;b_T·S^λ = C·v_T ≠ 0, mentre b_T·S^(λ~) = 0 se λ~ >^R λ. Questa asimmetria garantisce sia il NON ISOMORFISMO tra moduli associati a partizioni diverse, sia l'IRRIDUCIBILITA' di ogni S^λ.
